-BEGIN HEADER-,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,
Dates (month/day/year): 01/01/2010 through 07/08/2021 ,,,,,
Location: Latitude  10.7726   Longitude 106.7042 ,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 25.1 meters   Site = na ,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,
Parameter(s): ,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,
-END HEADER-,,,,,
LAT,LON,YEAR,MO,DY,PRECTOT
10.77261,106.70421,2010,1,1,0
10.77261,106.70421,2010,1,2,0
10.77261,106.70421,2010,1,3,0
10.77261,106.70421,2010,1,4,0.08
10.77261,106.70421,2010,1,5,0
10.77261,106.70421,2010,1,6,0
10.77261,106.70421,2010,1,7,0
10.77261,106.70421,2010,1,8,0
10.77261,106.70421,2010,1,9,0
10.77261,106.70421,2010,1,10,0.16
10.77261,106.70421,2010,1,11,0.04
10.77261,106.70421,2010,1,12,0.16
10.77261,106.70421,2010,1,13,0.04
10.77261,106.70421,2010,1,14,0.04
10.77261,106.70421,2010,1,15,0
10.77261,106.70421,2010,1,16,0.04
10.77261,106.70421,2010,1,17,0.08
10.77261,106.70421,2010,1,18,2.44
10.77261,106.70421,2010,1,19,87.92
10.77261,106.70421,2010,1,20,60.4
10.77261,106.70421,2010,1,21,0.84
10.77261,106.70421,2010,1,22,0.04
10.77261,106.70421,2010,1,23,0
10.77261,106.70421,2010,1,24,0
10.77261,106.70421,2010,1,25,1.16
10.77261,106.70421,2010,1,26,3.48
10.77261,106.70421,2010,1,27,0
10.77261,106.70421,2010,1,28,0
10.77261,106.70421,2010,1,29,0
10.77261,106.70421,2010,1,30,0
10.77261,106.70421,2010,1,31,0
10.77261,106.70421,2010,2,1,0
10.77261,106.70421,2010,2,2,0
10.77261,106.70421,2010,2,3,0
10.77261,106.70421,2010,2,4,0
10.77261,106.70421,2010,2,5,0
10.77261,106.70421,2010,2,6,0
10.77261,106.70421,2010,2,7,0
10.77261,106.70421,2010,2,8,0
10.77261,106.70421,2010,2,9,0
10.77261,106.70421,2010,2,10,0
10.77261,106.70421,2010,2,11,0
10.77261,106.70421,2010,2,12,0
10.77261,106.70421,2010,2,13,0
10.77261,106.70421,2010,2,14,0
10.77261,106.70421,2010,2,15,0
10.77261,106.70421,2010,2,16,0
10.77261,106.70421,2010,2,17,0
10.77261,106.70421,2010,2,18,0
10.77261,106.70421,2010,2,19,0.16
10.77261,106.70421,2010,2,20,0.04
10.77261,106.70421,2010,2,21,0
10.77261,106.70421,2010,2,22,0
10.77261,106.70421,2010,2,23,0
10.77261,106.70421,2010,2,24,0
10.77261,106.70421,2010,2,25,0
10.77261,106.70421,2010,2,26,0
10.77261,106.70421,2010,2,27,0
10.77261,106.70421,2010,2,28,0
10.77261,106.70421,2010,3,1,0
10.77261,106.70421,2010,3,2,0
10.77261,106.70421,2010,3,3,0
10.77261,106.70421,2010,3,4,0.04
10.77261,106.70421,2010,3,5,0
10.77261,106.70421,2010,3,6,0
10.77261,106.70421,2010,3,7,0
10.77261,106.70421,2010,3,8,0
10.77261,106.70421,2010,3,9,0
10.77261,106.70421,2010,3,10,0.08
10.77261,106.70421,2010,3,11,0.04
10.77261,106.70421,2010,3,12,0
10.77261,106.70421,2010,3,13,0
10.77261,106.70421,2010,3,14,0.8
10.77261,106.70421,2010,3,15,0
10.77261,106.70421,2010,3,16,0
10.77261,106.70421,2010,3,17,0.08
10.77261,106.70421,2010,3,18,0.52
10.77261,106.70421,2010,3,19,0
10.77261,106.70421,2010,3,20,0
10.77261,106.70421,2010,3,21,0
10.77261,106.70421,2010,3,22,0
10.77261,106.70421,2010,3,23,0
10.77261,106.70421,2010,3,24,0.04
10.77261,106.70421,2010,3,25,7.96
10.77261,106.70421,2010,3,26,12.44
10.77261,106.70421,2010,3,27,23.04
10.77261,106.70421,2010,3,28,0.52
10.77261,106.70421,2010,3,29,0.8
10.77261,106.70421,2010,3,30,0.92
10.77261,106.70421,2010,3,31,0
10.77261,106.70421,2010,4,1,0
10.77261,106.70421,2010,4,2,0
10.77261,106.70421,2010,4,3,0.04
10.77261,106.70421,2010,4,4,0
10.77261,106.70421,2010,4,5,0.08
10.77261,106.70421,2010,4,6,0
10.77261,106.70421,2010,4,7,0
10.77261,106.70421,2010,4,8,0
10.77261,106.70421,2010,4,9,0
10.77261,106.70421,2010,4,10,0
10.77261,106.70421,2010,4,11,0
10.77261,106.70421,2010,4,12,0
10.77261,106.70421,2010,4,13,0
10.77261,106.70421,2010,4,14,0
10.77261,106.70421,2010,4,15,0.16
10.77261,106.70421,2010,4,16,7.32
10.77261,106.70421,2010,4,17,10.08
10.77261,106.70421,2010,4,18,0.48
10.77261,106.70421,2010,4,19,0.76
10.77261,106.70421,2010,4,20,3.48
10.77261,106.70421,2010,4,21,0.08
10.77261,106.70421,2010,4,22,0.16
10.77261,106.70421,2010,4,23,0
10.77261,106.70421,2010,4,24,0
10.77261,106.70421,2010,4,25,0
10.77261,106.70421,2010,4,26,0.04
10.77261,106.70421,2010,4,27,0.04
10.77261,106.70421,2010,4,28,0.36
10.77261,106.70421,2010,4,29,0.04
10.77261,106.70421,2010,4,30,0.28
10.77261,106.70421,2010,5,1,1.16
10.77261,106.70421,2010,5,2,28.04
10.77261,106.70421,2010,5,3,0.44
10.77261,106.70421,2010,5,4,5.12
10.77261,106.70421,2010,5,5,0.08
10.77261,106.70421,2010,5,6,0
10.77261,106.70421,2010,5,7,0.08
10.77261,106.70421,2010,5,8,34.08
10.77261,106.70421,2010,5,9,0.08
10.77261,106.70421,2010,5,10,3
10.77261,106.70421,2010,5,11,0.52
10.77261,106.70421,2010,5,12,3.8
10.77261,106.70421,2010,5,13,0.28
10.77261,106.70421,2010,5,14,1.12
10.77261,106.70421,2010,5,15,0.44
10.77261,106.70421,2010,5,16,0.28
10.77261,106.70421,2010,5,17,0.64
10.77261,106.70421,2010,5,18,2.84
10.77261,106.70421,2010,5,19,0.76
10.77261,106.70421,2010,5,20,0.16
10.77261,106.70421,2010,5,21,2.4
10.77261,106.70421,2010,5,22,20.08
10.77261,106.70421,2010,5,23,0.32
10.77261,106.70421,2010,5,24,2.28
10.77261,106.70421,2010,5,25,14.32
10.77261,106.70421,2010,5,26,5.72
10.77261,106.70421,2010,5,27,13.28
10.77261,106.70421,2010,5,28,7.16
10.77261,106.70421,2010,5,29,0.68
10.77261,106.70421,2010,5,30,2.56
10.77261,106.70421,2010,5,31,0.56
10.77261,106.70421,2010,6,1,0.72
10.77261,106.70421,2010,6,2,0.76
10.77261,106.70421,2010,6,3,3.72
10.77261,106.70421,2010,6,4,1.68
10.77261,106.70421,2010,6,5,13.48
10.77261,106.70421,2010,6,6,26.08
10.77261,106.70421,2010,6,7,5.28
10.77261,106.70421,2010,6,8,14.28
10.77261,106.70421,2010,6,9,46.24
10.77261,106.70421,2010,6,10,27.44
10.77261,106.70421,2010,6,11,3.2
10.77261,106.70421,2010,6,12,10.24
10.77261,106.70421,2010,6,13,32.4
10.77261,106.70421,2010,6,14,24.16
10.77261,106.70421,2010,6,15,124.12
10.77261,106.70421,2010,6,16,11.72
10.77261,106.70421,2010,6,17,39.88
10.77261,106.70421,2010,6,18,33.24
10.77261,106.70421,2010,6,19,12.04
10.77261,106.70421,2010,6,20,23.96
10.77261,106.70421,2010,6,21,93.36
10.77261,106.70421,2010,6,22,13.4
10.77261,106.70421,2010,6,23,15.64
10.77261,106.70421,2010,6,24,5.72
10.77261,106.70421,2010,6,25,26.4
10.77261,106.70421,2010,6,26,28.16
10.77261,106.70421,2010,6,27,1.64
10.77261,106.70421,2010,6,28,6.24
10.77261,106.70421,2010,6,29,10.4
10.77261,106.70421,2010,6,30,21
10.77261,106.70421,2010,7,1,151.16
10.77261,106.70421,2010,7,2,4
10.77261,106.70421,2010,7,3,7.68
10.77261,106.70421,2010,7,4,11.28
10.77261,106.70421,2010,7,5,2.16
10.77261,106.70421,2010,7,6,6.84
10.77261,106.70421,2010,7,7,51.44
10.77261,106.70421,2010,7,8,2.76
10.77261,106.70421,2010,7,9,14.88
10.77261,106.70421,2010,7,10,8.4
10.77261,106.70421,2010,7,11,6.88
10.77261,106.70421,2010,7,12,77.56
10.77261,106.70421,2010,7,13,1.52
10.77261,106.70421,2010,7,14,10.44
10.77261,106.70421,2010,7,15,3.6
10.77261,106.70421,2010,7,16,10.08
10.77261,106.70421,2010,7,17,14.24
10.77261,106.70421,2010,7,18,64.84
10.77261,106.70421,2010,7,19,1.28
